title,price,transaction_type,governorate,delegation,area_m2,bedrooms,bathrooms,subcategory,publisher_name,is_shop,published_on,description,detail_url
Appartement s3 à Ain Zaghouan nord MAL2622,1800.0,À Louer,Tunis,ain zaghaoun nord,1,3,2,flat,La croisette immobilière,False,2026-04-10,"La Croisette Immobiliere Tunisie vous propose a la location un appartement S+3 occupant le premier etage d’une residence privee a Ain Zaghouan Nord. Ce dernier est compose d'un salon-salle a manger donnant sur un balcon, d'une cuisine amenagee et equipee, d'une salle d'eau avec douche, de trois chambres a coucher et d'une salle de bain. L'appartement est equipe du chauffage central et de climatiseurs. ref:MAL2622",https://www.houni.tn/en/property/rent/flat/tunis/la-marsa/el-bahr-el-azrak/appartement-s3-a-ain-zaghouan-nord-mal2622/767zy1
A Louer Appartement S+1 Meublé De Haut Standing à Hammamet Nord,600.0,À Louer,Nabeul,Hammamet Nord,50,1,1,flat,Leboulevard Immobilier,False,2026-04-09,"L’agence immobiliere Le Boulevard vous propose : #Location annuelle #Reference : 1477a Un appartement S+1 meuble neuf et haut standing au 2eme etage situe a Hammamet Nord. L’appartement se compose d’un salon, d’une chambre a coucher avec dressing et balcon, d’une kitchenette bien equipee ainsi que d’une salle d’eau. • Chauffage central • Climatiseurs • A 800 metres de Carrefour Market • A 1.6Km de la plage • Proche de toutes les commodites • Prix : 600DT Pour plus d'informations, contactez-nous sur : Telephone : 29698992|55982862 |22232885 WhatsApp : (+216) 29698992| (+216) 55982862 | (+216) 22232885 E-mail : leboulevardimmobilier@gmail.com Site web : https://www.leboulevardimmo.com/bien/details/131319-appartement-s1-meuble-de-haut-standing-a-hammamet-nord",https://www.houni.tn/en/property/rent/flat/nabeul/hammamet/hammamet-nord/a-louer-appartement-s+1-meuble-de-haut-standing-a/yz2fxj
À Louer Appartement S+2 Meublé de Haut Standing avec Vue sur Mer à Hammamet Nord,1000.0,À Louer,Nabeul,Hammamet Nord,73,2,2,flat,Leboulevard Immobilier,False,2026-04-09,"L’agence immobiliere Le Boulevard vous propose : #Location annuelle #Reference : 1476a Un appartement S+2 meuble, neuf et de haut standing avec vue mer, situe au 2ᵉ etage a Hammamet Nord. L’appartement se compose d’un salon, d’une suite parentale avec dressing, d’une chambre d’enfant avec dressing et vue mer, d’une cuisine bien equipee avec balcon et vue mer, ainsi que d’une salle d’eau. • Chauffage central • Climatiseurs • A 800 metres de Carrefour Market • A 1.6Km de la plage • Proche de toutes les commodites • Prix : 1 000DT Pour plus d'informations, contactez-nous sur : Telephone : 29698992|55982862 |22232885 WhatsApp : (+216) 29698992| (+216) 55982862 | (+216) 22232885 E-mail : leboulevardimmobilier@gmail.com Site web : https://www.leboulevardimmo.com/bien/details/131310-appartement-s2-meuble-de-haut-standing-avec-vue-sur-mer-a-hammamet-nord",https://www.houni.tn/en/property/rent/flat/nabeul/hammamet/hammamet-ouest/a-louer-appartement-s+2-meuble-de-haut-standing-av/r7kukf
"maison a louer haut standing située au mourouj 6 ,un salon spacieux et lumineux équipée avec 2 salles d'eau et 3 chambres , un maison a louer haut standing située au mourouj 6 ",0.01,À Louer,Ben Arous,El Mourouj 6,125,3,2,house,abdou,False,2026-04-08,"maison a louer haut standing situee au mourouj 6 ,un salon spacieux et lumineux equipee avec 2 salles d'eau et 3 chambres , un maison a louer haut standing situee au mourouj 6 , equipee avec 2 salles d'eau et 3 chambres , un , gaz de ville et un chauffe bain tout neuf , faux plafond , gaz de ville et un chauffe bain tout neuf , faux plafond et une peinture personnalisee",https://www.houni.tn/en/property/rent/house/ben-arous/megrine/megrine-riadh/maison-a-louer-haut-standing-situee-au-mourouj-6/2pjeea
Particulier L S2 meublé Ennasr2 pour étranger à l'année,1600.0,À Louer,Ariana,Residence Erriadh Ennasr2,125,2,1,flat,Saber Ben zina,False,2026-04-07,"Particulier Loue a l'annee Superbe appartement S+2 meuble, haut standing. Situe au cite Ennasr2. Dans une residence securisee et calme proche de toutes les commodites. ✨Entree independante. ✨ 1 salon ✨ 2 chambres dont 1 avec balcon. ✨ Cuisine equipee + sechoir ✨ 1 salle de bain + salle d’eau ✨ Chauffage central + climatisation ✨ Place de parking sous-sol 📍 Cadre de vie agreable, ideal pour un etranger recherchant confort et tranquillite. 💰 Loyer : 1600 DT / mois 💰 Caution : 2 mois 📲 WhatsApp +216 55690000 Disponible immediatement",https://www.houni.tn/en/property/rent/flat/ariana/ariana-ville/el-yasmina/particulier-l-s2-meuble-ennasr2-pour-etranger-a-l/0l67xk
Particulier L S1 meublé Ennasr2 pour étranger,1200.0,À Louer,Ariana,Residence Erriadh Ennasr2,74,1,1,flat,Saber Ben zina,False,2026-04-07,"Particulier met en location pour un etranger , un tres bel appartement s1 bien meuble, Lumineux, haut standing et surtout tres propre. Situe au plein centre du cite Ennasr2 a proximite du Magasin General Se compose : 1 salon spacieuse . 1 chambre de nuit . 1 cuisine equipee . 1 salle de bain . 1 balcon . Equipe de 2 climatiseurs chauffage central 2 tv. Residence securisee gardee jours et nuits tres proche de toutes les commodites Prix du loyer a l'annee 1200 dt /mois avec 2 mois de caution. Gsm proprietaire 216 55690000",https://www.houni.tn/en/property/rent/flat/ariana/ariana-ville/el-yasmina/particulier-l-s1-meuble-ennasr2-pour-etranger/pvrxfc
"A Louer Etage De Villa S+1 Haut Standing à Mrezga, Nabeul",700.0,À Louer,Nabeul,Mrezga,90,1,1,flat,Leboulevard Immobilier,False,2026-04-07,"L’agence immobiliere le boulevard vous propose : #Location_Annuelle #Reference : 1007a Etage de villa S+1 Haut standing situee a Mrezga, Nabeul Il se compose d'un salon, kitchenette bien equipee (plaque, four, Hotte...) une chambre a coucher avec balcon et salle d’eau. • Chauffage central • Climatiseur pre installe • 07 minutes de la plage a pied • Pres de toutes les commodite (Faculte, clinique, magasin, restaurant, transport…) • Prix : 700DT/mois Pour plus d'informations, contactez-nous sur : Telephone : 29698992 | 55982862 |22232885 WhatsApp (216) 29698992| (216)55982862 | (216) 22232885 E-mail : leboulevardimmobilier@gmail.com Site web : https://www.leboulevardimmo.com/bien/details/97988-etage-de-villa-s1-haut-standing-a-mrezga-nabeul",https://www.houni.tn/en/property/rent/flat/nabeul/hammamet/mrezga/a-louer-etage-de-villa-s+1-haut-standing-a-mrezga/2w9xd
Appartement de luxe S+1 à louer à -Khzema,1000.0,À Louer,Sousse,Khzema est,70,1,1,flat,immobiliere Internationale,False,2026-03-30,✨Appartement de luxe S+1 a louer a -Khzema ✨ 𝑳’𝒊𝒎𝒎𝒐𝒃𝒊𝒍𝒊e𝒓𝒆 𝒊𝒏𝒕𝒆𝒓𝒏𝒂𝒕𝒊𝒐𝒏𝒂𝒍𝒆 -𝑻𝒖𝒏𝒊𝒔𝒊𝒆 propose un luxueux appartement en S+1 jamais habite a louer a l'annee dans une residence de prestige a📍 Khzema . Cet appartement comprend : ▪ Un sejour spacieux et lumineux offrant sur un balcon ▪ Une kitchenette ▪ Une chambre avec placard ▪ Une salle d'eau Equipements: ☑ Climatisation ☑ Chauffage central ☑ Parking sous-sol Loyer : 1000 DT par mois 💰 Merci de nous contacter 📞 𝟱𝟱 𝟱𝟮𝟴 𝟭𝟬𝟮 – 𝟱𝟯 𝟱𝟮𝟴 𝟴𝟴𝟵 Disponible WhatsApp 🌏 +𝟮𝟭𝟲 𝟱𝟱 𝟱𝟮𝟴 𝟭𝟬𝟮 – +𝟮𝟭𝟲 𝟱𝟯 𝟱𝟮𝟴 𝟴𝟴𝟵 🌐 www.immo-internationale.com.tn 📧 immo.internationale@gmail.com,https://www.houni.tn/en/property/rent/flat/sousse/kalaa-kebira/essed-ouest/appartement-de-luxe-s+1-a-louer-a-khzema/ultryk
Appartement S+3 à Louer -Route touristique Sousse,1650.0,À Louer,Tunis,Khzema  est,150,3,1,flat,immobiliere Internationale,False,2026-04-04,✨Appartement S+3 a Louer -Route touristique Sousse ✨ 𝑳’𝒊𝒎𝒎𝒐𝒃𝒊𝒍𝒊e𝒓𝒆 𝒊𝒏𝒕𝒆𝒓𝒏𝒂𝒕𝒊𝒐𝒏𝒂𝒍𝒆 -𝑻𝒖𝒏𝒊𝒔𝒊𝒆 propose a louer a l'annee👉Appartement en S+3 avec vue mer dans un immeuble residentiel avec ascenseur 📍 sur la Route touristique de Sousse. Compose de : ▪ Salon lumineux donnant sur un balcon avec vue sur la mer ▪ Cuisine entierement equipee ▪ Deux chambres (chacune avec un placard) ▪ Suite parentale ▪ Salle de bain avec baignoire Cet appartement bien equipee par : ▪ Climatisation ▪ Chauffage central 💰 Le prix de location : 1650 dinars / mois (inclus le syndic) Merci de nous contacter 📞 𝟱𝟱 𝟱𝟮𝟴 𝟭𝟬𝟮 – 𝟱𝟯 𝟱𝟮𝟴 𝟴𝟴𝟵 Disponible WhatsApp 🌏 +𝟮𝟭𝟲 𝟱𝟱 𝟱𝟮𝟴 𝟭𝟬𝟮 – +𝟮𝟭𝟲 𝟱𝟯 𝟱𝟮𝟴 𝟴𝟴𝟵 🌐 www.immo-internationale.com.tn 📧 immo.internationale@gmail.com,https://www.houni.tn/en/property/rent/flat/tunis/bab-el-bhar/lac-de-tunis/appartement-s+3-a-louer-route-touristique-sousse/4uiyot
Etage de viila s3 meublé avec jardin à La Marsa,4000.0,À Louer,Tunis,La Marsa,1,3,2,flat,La croisette immobilière,False,2026-04-06,"La Croisette Immobiliere Tunisie vous propose a la location un etage de villa meuble S+3 avec jardin situe dans une quartier residentiel a La Marsa. Ce dernier est compose d'un salon donnant sur un balcon avec vue sur le jardin, d'une cuisine amenagee et equipee attenante a un sechoir, d'une salle d'eau invites, de trois chambres a coucher et d'une salle de bain. le rez-de-chaussee est equipe du chauffage central et de climatiseurs et dispose d'un garage et d'un jardin. ref:MEL0454",https://www.houni.tn/en/property/rent/flat/tunis/la-marsa/la-marsa-erriadh/etage-de-viila-s3-meuble-avec-jardin-a-la-marsa/s6wd56
